"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"DCA20MA002","ACC","100437","2019-10-17T18:40:00Z","Unalaska","Alaska","United States","AAR2105","N686PA","2000-017","true","Aviation","Report","2021-12-01T05:00:00Z","2020-12-16T18:00:00Z","Fatal","1","1","3","5",,"The landing gear manufacturer’s incorrect wiring of the wheel speed transducer harnesses on the left main landing gear during overhaul. The incorrect wiring caused the antiskid system not to function as intended, resulting in the failure of the left outboard tire and a significant loss of the airplane’s braking ability, which led to the runway overrun. Contributing to the accident were (1) Saab’s design of the wheel speed transducer wire harnesses, which did not consider and protect against human error during maintenance; (2) the Federal Aviation Administration’s lack of consideration of the runway safety area dimensions at Unalaska Airport during the authorization process that allowed the Saab 2000 to operate at the airport; and (3) the flight crewmembers’ inappropriate decision, due to their plan continuation bias, to land on a runway with a reported tailwind that exceeded the airplane manufacturer’s limit. The safety margin was further reduced because of PenAir’s failure to correctly apply its company-designated pilot-in-command airport qualification policy, which allowed the accident captain to operate at one of the most challenging airports in PenAir’s route system with limited experience at the airport and in the Saab 2000 airplane.","Personnel issues - Task performance - Maintenance - Scheduled/routine maintenance - Other, Aircraft - Aircraft systems - Landing gear system - Main landing gear - Incorrect service/maintenance, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - (general) - Attain/maintain not possible, Personnel issues - Action/decision - Info processing/decision - Decision making/judgment - Pilot, Environmental issues - Conditions/weather/phenomena - Wind - Tailwind - Decision related to condition, Organizational issues - Development - Design - Equipment design - Manufacturer, Aircraft - Aircraft systems - Landing gear system - Land gear sys wiring - Design, Organizational issues - Management - Policy/procedure - (general) - Operator, Organizational issues - Support/oversight/monitoring - Oversight - Oversight of operation - FAA/Regulator, Environmental issues - Operating environment - Airport facilities/design - (general) - Decision related to condition",,"53.898333999999998","-166.54417000000001","Saab","2000","AIR","PADU","Unalaska","false","2","TP","SCHD",,"121","Substantial","VMC","Peninsula AviationServices Inc.,","Landing","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=100437","https://www.ntsb.gov/investigations/Pages/DCA20MA002.aspx"
"DCA19MA086","ACC","99013","2019-02-23T14:39:00Z","Trinity Bay","Texas","United States","AAR2002","N1217A","25865","true","Aviation","Report","2020-08-04T04:00:00Z","2019-12-19T15:00:00Z","Fatal","3","0","0","3","0","The inappropriate response by the first officer as the pilot flying to an inadvertent activation of the go-around mode, which led to his spatial disorientation and nose-down control inputs that placed the airplane in a steep descent from which the crew did not recover. Contributing to the accident was the captain's failure to adequately monitor the airplane's flightpath and assume positive control of the airplane to effectively intervene. Also contributing were systemic deficiencies in the aviation industry's selection and performance measurement practices, which failed to address the first officer's aptitude-related deficiencies and maladaptive stress response. Also contributing to the accident was the Federal Aviation Administration's failure to implement the pilot records database in a sufficiently robust and timely manner.","Organizational issues - Support/oversight/monitoring - Documentation/record keeping - Personnel records - Not specified, Organizational issues - Support/oversight/monitoring - Documentation/record keeping - Personnel records - FAA/Regulator, Aircraft - Aircraft systems - Auto flight system - (general) - Unintentional use/operation, Personnel issues - Experience/knowledge - Experience/qualifications - Qualification/certification - Copilot, Personnel issues - Psychological - Perception/orientation/illusion - (general) - Copilot, Personnel issues - Experience/knowledge - (general) - (general) - Copilot, Personnel issues - Psychological - Attention/monitoring - Attention - Pilot, Personnel issues - Psychological - Personality/attitude - Personality - Copilot, Personnel issues - Task performance - Use of equip/info - Use of automation - Copilot, Personnel issues - Action/decision - Action - Incorrect action performance - Copilot, Aircraft - Aircraft systems - Indicating/recording systems - Data recorders (flight/maint) - Design, Aircraft - Aircraft systems - Auto flight system - (general) - Design",,"29.77","-94.660003000000003","Boeing","767","AIR","KIAH","George Bush Intercontinental","false","2","TF","NSCH",,"121","Destroyed","IMC","Atlas Air","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=99013","https://www.ntsb.gov/investigations/Pages/DCA19MA086.aspx"
"DCA18MA142","ACC","97056","2018-04-17T12:03:00Z","Philadelphia","Pennsylvania","United States","AAR1903","N772SW","27880","true","Aviation","Report","2020-03-10T04:00:00Z","2018-11-14T13:00:00Z","Fatal","1","8","125","134","0","A low-cycle fatigue crack in the dovetail of fan blade No. 13, which resulted in the fan blade separating in flight and impacting the engine fan case at a location that was critical to the structural integrity and performance of the fan cowl structure. This impact led to the in-flight separation of fan cowl components, including the inboard fan cowl aft latch keeper, which struck the fuselage near a cabin window and caused the window to depart from the airplane, the cabin to rapidly depressurize, and the passenger fatality.","Aircraft - Aircraft power plant - Engine (turbine/turboprop) - Compressor section - Fatigue/wear/corrosion, Aircraft - Aircraft structures - Nacelles/pylons structure - Nacelle/pylon misc structure - Damaged/degraded, Aircraft - Aircraft structures - Windows-windshield system - Passenger compartment windows - Damaged/degraded, Organizational issues - Management - Resources - Availability of documents/info - FAA/Regulator, Personnel issues - Action/decision - Action - Lack of action - Cabin crew",,"39.871943999999999","-75.239997000000002","BOEING","737 7H4","AIR","KPHL","Philadelphia","false","2","TF","SCHD",,"121","Substantial","VMC","SOUTHWEST AIRLINES CO","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=97056","https://www.ntsb.gov/investigations/Pages/DCA18MA142.aspx"
"DCA13MA133","ACC","87780","2013-08-14T04:40:00Z","Birmingham","Alabama","United States","AAR1402","N155UP","0841","true","Aviation","Report","2015-02-03T05:00:00Z","2014-02-20T13:25:00Z","Fatal","2","0","0","2","0","the flight crew's continuation of an unstabilized approach and their failure to monitor the aircraft's altitude during the approach, which led to an inadvertent descent below the minimum approach altitude and subsequently into terrain. Contributing to the accident were (1) the flight crew's failure to properly configure and verify the flight management computer for the profile approach; (2) the captain's failure to communicate his intentions to the first officer once it became apparent the vertical profile was not captured; (3) the flight crew's expectation that they would break out of the clouds at 1,000 feet above ground level due to incomplete weather information; (4) the first officer's failure to make the required minimums callouts;  (5) the captain's performance deficiencies likely due to factors including, but not limited to, fatigue, distraction, or confusion, consistent with performance deficiencies exhibited during training; and (6) the first officer's fatigue due to acute sleep loss resulting from her ineffective off-duty time management and circadian factors.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Descent/approach/glide path - Not attained/maintained, Personnel issues - Psychological - Attention/monitoring - Monitoring equip/instruments - Flight crew, Aircraft - Aircraft systems - Navigation system - Flt management computing sys - Incorrect use/operation, Personnel issues - Task performance - Use of equip/info - Use of automation - Flight crew, Personnel issues - Task performance - Communication (personnel) - Lack of communication - Pilot, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - (general) - Awareness of condition, Environmental issues - Conditions/weather/phenomena - Ceiling/visibility/precip - Low ceiling - Accuracy of related info, Personnel issues - Task performance - Communication (personnel) - Lack of communication - Copilot, Personnel issues - Task performance - (general) - (general) - Pilot, Personnel issues - Physical - Alertness/Fatigue - Lack of sleep - Copilot, Organizational issues - Support/oversight/monitoring - Training - (general) - Operator, Organizational issues - Support/oversight/monitoring - Oversight - Oversight of operation - FAA/Regulator, Aircraft - Aircraft systems - Navigation system - Ground proximity system - Related maintenance info",,"33.563887999999999","-86.802222999999998","AIRBUS","A300 - F4 622R","AIR","BHM","Birmingham-Shuttlesworth Inter","false","2","TF","NSCH",,"121","Destroyed","Unknown","UNITED PARCEL SERVICE CO","Approach","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=87780","https://www.ntsb.gov/investigations/Pages/DCA13MA133.aspx"
"DCA13MA081","ACC","86758","2013-04-29T04:00:00Z","Bagram",,"Afghanistan","AAR1501","N949CA","25630","true","Aviation","Report","2015-08-26T04:00:00Z","2015-02-03T17:09:00Z","Fatal","7","0","0","7","0","National Airlines' inadequate procedures for restraining special cargo loads, which resulted in the loadmaster's improper restraint of the cargo, which moved aft and damaged hydraulic systems Nos. 1 and 2 and horizontal stabilizer drive mechanism components, rendering the airplane uncontrollable. Contributing to the accident was the Federal Aviation Administration's inadequate oversight of National Airlines' handling of special cargo loads.","Organizational issues - Management - Policy/procedure - Adequacy of policy/proc - Operator, Personnel issues - Action/decision - Action - Incorrect action selection - Other, Organizational issues - Support/oversight/monitoring - Oversight - Oversight of operation - FAA/Regulator, Personnel issues - Action/decision - Action - Lack of action - Other, Aircraft - Aircraft systems - Hydraulic power system - (general) - Damaged/degraded, Aircraft - Aircraft systems - Flight control system - Stabilizer control system - Damaged/degraded, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - (general) - Attain/maintain not possible",,"34.946387999999999","69.264999000000003","BOEING","747-400 BCF","AIR","OAIX","Bagram Air Base","false","4","TJ","NSCH",,"121","Destroyed","VMC","National Air Cargo","Initial Climb","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=86758","https://www.ntsb.gov/investigations/Pages/DCA13MA081.aspx"
"DCA10RA092","ACC","77189","2010-09-03T15:45:00Z","Dubai",,"United Arab Emirates",,"N571UP","35668","true","Aviation","","2020-11-03T05:00:00Z","2012-08-15T22:32:00Z","Fatal","2","0","0","2","0",,,,"25.252644","55.364130000000003","BOEING","747-44AF","AIR",,,"false","4",,"NSCH",,"121","Destroyed",,"UNITED PARCEL SERVICE CO",,"N/A",,"Prelim","https://data.ntsb.gov/Docket?ProjectID=77189","None"
"DCA09RA041","ACC","73529","2009-03-23T06:49:00Z","Narita",,"Japan",,"N526FE","560","false","Aviation","",,,"Fatal","2","0","0","2","0",,,,"35.764719999999997","140.386383","MCDONNELL DOUGLAS","MD11","AIR","NRT","Narita International Airport","false",,,"NSCH",,"121","Destroyed",,"FedEx Corporation","Landing","N/A",,,"","None"
"DCA09MA027","ACC","73351","2009-02-12T21:17:00Z","Clarence Center","New York","United States","AAR1001","N200WQ","4200","true","Aviation","Report","2010-03-28T04:00:00Z","2009-05-12T13:30:00Z","Fatal","50","0","0","49","1","The captain’s inappropriate response to the activation of the stick shaker, which led to an aerodynamic stall from which the airplane did not recover. Contributing to the accident were (1) the flight crew's failure to monitor airspeed in relation to the rising position of the low-speed cue, (2) the flight crew failure to adhere to sterile cockpit procedures, (3) the captain’s failure to effectively manage the flight, and (4) Colgan Air’s inadequate procedures for airspeed selection and management during approaches in icing conditions.","Aircraft - Aircraft systems - Navigation system - Stall warning system - Incorrect use/operation, Personnel issues - Action/decision - Action - Incorrect action selection - Pilot, Personnel issues - Psychological - Attention/monitoring - Monitoring equip/instruments - Flight crew, Personnel issues - Task performance - Communication (personnel) - CRM/MRM techniques - Flight crew, Personnel issues - Task performance - Workload management - (general) - Pilot, Organizational issues - Management - Policy/procedure - Adequacy of policy/proc - Operator, Environmental issues - Conditions/weather/phenomena - Temp/humidity/pressure - Conducive to structural icing - Not specified, Aircraft - Aircraft systems - Indicating/recording systems - Instrument panel    - Not installed/available, Personnel issues - Physical - Alertness/Fatigue - (general) - Unknown/Not determined, Organizational issues - Support/oversight/monitoring - Documentation/record keeping - Personnel records - Operator, Organizational issues - Support/oversight/monitoring - Training - Recurrent training - Operator, Organizational issues - Support/oversight/monitoring - Oversight - Oversight of operation - FAA/Regulator, Organizational issues - Support/oversight/monitoring - Safety programs - (general) - Operator, Environmental issues - Conditions/weather/phenomena - (general) - (general) - Availability of related info",,"43.011111999999997","-78.634719000000004","BOMBARDIER INC","DHC-8-402","AIR","BUF","Buffalo-Niagara International","false","2","TP","SCHD",,"121","Destroyed","VMC","COLGAN AIR INC","Approach","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=73351","https://www.ntsb.gov/investigations/Pages/DCA09MA027.aspx"
"DCA08RA077","ACC","68372","2008-07-06T01:15:00Z","Saltillo",,"Mexico",,"N199US",,"false","Aviation","",,"2011-05-20T16:21:00Z","Fatal","1","1","0","2",,,,,"25.394926999999999","-100.97817000000001","MCDONNELL DOUGLAS","DC-9-15","AIR",,,"false",,,"NSCH",,"121","Destroyed","IMC","USA JET AIRLINES INC",,"N/A",,"Prelim","https://data.ntsb.gov/Docket?ProjectID=68372","None"
"DFW07LA155","ACC","66176","2007-07-10T16:30:00Z","Tunica","Mississippi","United States",,"N332DL","23104","false","Aviation","DirectorBrief","2008-06-30T04:00:00Z",,"Fatal","1","0","0","1","0","Gorund service personal's removal of the portable stairway prior to the main cabin door being secured.  Factors were the high winds and heavy rain.",,,"34.676386999999998","-90.341667000000001","Boeing","737-232","AIR","UTA","Tunica Municipal Airport","false","2","TF","NSCH",,"121","None","VMC","Sky King, Inc.",,"Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/66176/pdf"
