"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","OnboardInjuryCount","OnGroundInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"DCA24WA244","ACC","194772","2024-07-24T04:00:00Z","Kathmandu",,"Nepal",,"9N-AME",,"false","Aviation","",,,"Fatal","19","1","0","19",,,,,,,"BOMBARDIER","CL600 2B19","AIR","VNKT","Tribhuvan International Airport","false",,,"NSCH",,"NUSC","Destroyed",,"Saurya Airlines","Initial Climb","N/A",,"Prelim","","None"
"GAA24WA256","ACC","194927","2024-07-16T10:50:00Z","Carate",,"Costa Rica",,"TI-API",,"false","Aviation","",,,"Fatal","2","0","0","2",,,,,"8.4449000000000005","-83.462999999999994","PIPER","PA34","AIR","MRCE",,"false",,,,,"NUSC","Destroyed",,,"Takeoff","N/A",,"Prelim","","None"
"DCA24WA185","ACC","194299","2024-05-21T07:50:00Z","Payagyi","Other Foreign","Burma",,"9V-SWM",,"false","Aviation","",,,"Fatal","1","14","0","14",,,,,"16.476241999999999","95.201690999999997","BOEING","777","AIR",,,"false",,,"SCHD",,"NUSC","Minor",,"Singapore Airlines","Enroute","N/A",,"Prelim","","None"
"GAA24WA131","ACC","194016","2024-02-11T12:22:00Z","Lote Ocho",,"Mexico",,"XB-SKA","LW-43","false","Aviation","",,,"Fatal","9","0","0","9","0",,,,"17.466667000000001","-92.133332999999993","BEECH","E90","AIR","MMPQ","Palenque International Airport","false","2",,"NSCH","BUS","NUSC","Unknown",,"Comercializadora Masvi","Approach","N/A",,"Prelim","","None"
"GAA24WA061","ACC","193590","2023-12-29T10:08:00Z","Carletonville","Other Foreign","South Africa",,"ZS-XPC, ZS-STD",,"false","Aviation","",,,"Fatal","3","0","0","3",,,,,"-26.138639000000001","27.442388999999999","AIR TRACTOR, CESSNA","AT502, 182","AIR, AIR",,,"false, false",,,,"AAPL, PERS","NUSC, NUSN","Substantial, Substantial",,"CHB Botha, FG Construction Solutions","Maneuvering","N/A",,"Prelim","","None"
"GAA24WA049","ACC","193471","2023-12-04T09:59:00Z","Terre-de-Haut","Other Foreign","Guadeloupe",,"N15902","32-7300019","false","Aviation","",,,"Fatal","5","0","0","5",,,,,"15.861584000000001","-61.563175999999999","PIPER","PA-32-260","AIR",,,"false","1",,,,"NUSC","Unknown","VMC",,"Unknown","N/A",,"Prelim","","None"
"GAA24WA022","ACC","193323","2023-10-29T12:20:00Z","Rio Branco","Other Foreign","Brazil",,"PT-MEE",,"false","Aviation","",,,"Fatal","12","0","0","12","0",,,,,,"CESSNA","208","AIR","SBRB",,"false",,,,,"NUSC","Destroyed",,,"Initial Climb","N/A",,"Prelim","","None"
"GAA24WA013","ACC","193268","2023-10-15T11:00:00Z","Monêtier-Allemont",,"France",,"F-HSLE","20800340","false","Aviation","",,,"Fatal","1","0","0","1",,,,,,,"CESSNA","208","AIR",,,"false","1",,,,"NUSC","Destroyed",,,"Maneuvering","N/A",,"Prelim","","None"
"GAA23WA133","ACC","107125","2023-04-23T14:33:00Z","Isla Mocha","Other Foreign","Chile",,"CC-PFC",,"false","Aviation","",,,"Fatal","4","1","0","5",,,,,"-38.413234000000003","-73.899854000000005","PIPER","PA32","AIR",,,"false",,,,,"NUSC","Substantial",,,"Initial Climb","N/A",,"Prelim","","None"
"GAA23WA095","ACC","106892","2023-03-11T16:15:00Z","Belo Horizonte","Other Foreign","Brazil",,"PT-FLK",,"false","Aviation","",,,"Fatal","1","1","0","2",,,,,,,"CESSNA","182","AIR","SWWT",,"false",,,,,"NUSC","Substantial",,,"Landing","N/A",,"Prelim","","None"
